Borough,District,Population,Householdswithchildrenunder18yearsold,RacialDiversityIndex,Populationaged65,Populationaged25withabachelorsdegreeorhigher,Populationaged25withouthighschooldiploma,Unemployment rate,PercentageUnemployment,Poverty Rate,PercentagePoverty,Food waste in tons,Foodscraps per person,Food waste per person in pounds,Median Household Income
2,8,112505,0.320102,0.668152,0.170135,0.432882,0.108215,0.0622399,6.22399,0.175372,17.5372,,#DIV/0!,#DIV/0!,65886.17284
2,9,178301,0.375111,0.584243,0.129113,0.16671,0.222781,0.046551,4.6551,0.303795,30.3795,,#DIV/0!,#DIV/0!,39272.71114
2,10,116042,0.24,0.7008277141,0.205305,0.248895,0.0341641,0.0416134,4.16134,0.118062,11.8062,471.4,0.02504497242,50.08994485,54296.62893
2,11,133573,0.364128,0.683922,0.126523,0.230115,0.340961,0.0674517,6.74517,0.236834,23.6834,,#DIV/0!,#DIV/0!,48632.10055
2,12,145536,0.386256,0.545966,0.123172,0.220636,0.15589,0.0894677,8.94677,0.197446,19.7446,,#DIV/0!,#DIV/0!,50679.70052
3,1,167820,0.234861,0.552457,0.0980574,0.461494,0.42522,0.113603,11.3603,0.228215,22.8215,,#DIV/0!,#DIV/0!,71641.4447
3,2,134656,0.226872,0.697808,0.0949234,0.620598,0.310798,0.0495028,4.95028,0.161054,16.1054,,#DIV/0!,#DIV/0!,92507.10755
3,3,150857,0.333614,0.638502,0.093002,0.291251,0.208256,0.110466,11.0466,0.337039,33.7039,,#DIV/0!,#DIV/0!,42216.00264
3,4,122010,0.279082,0.618838,0.0828375,0.268616,0.299864,0.149902,14.9902,0.291008,29.1008,,#DIV/0!,#DIV/0!,46111.56691
3,5,158756,0.364698,0.597427,0.105791,0.167665,0.229677,0.0653941,6.53941,0.284309,28.4309,,#DIV/0!,#DIV/0!,37470.65235
3,6,117037,0.290075,0.524737,0.0990456,0.763731,0.100631,0.048364,4.8364,0.084893,8.4893,1213.3,0.006996868046,13.99373609,119002.0689
3,7,149773,0.398412,0.681982,0.100258,0.281221,0.160257,0.0524106,5.24106,0.315649,31.5649,1092,0.02890558608,57.81117216,48277.66719
3,8,131303,0.274744,0.621518,0.100691,0.38689,0.0540351,0.0477439,4.77439,0.238091,23.8091,,#DIV/0!,#DIV/0!,48806.11452
3,9,115092,0.286154,0.527479,0.134892,0.279884,0.20027,0.0764969,7.64969,0.202044,20.2044,,#DIV/0!,#DIV/0!,48256.31578
3,10,122418,0.281271,0.601466,0.164861,0.421537,0.368753,0.157358,15.7358,0.139103,13.9103,1168.1,0.01190848386,23.81696773,68728.04516
3,11,187861,0.348078,0.638644,0.147593,0.290693,0.42522,0.113603,11.3603,0.200992,20.0992,,#DIV/0!,#DIV/0!,53409.47795
3,12,161856,0.442435,0.500007,0.112069,0.268612,0.148191,0.0627135,6.27135,0.300819,30.0819,,#DIV/0!,#DIV/0!,46089.14794
3,13,122781,0.297218,0.621087,0.200414,0.370671,0.143182,0.0551451,5.51451,0.209864,20.9864,,#DIV/0!,#DIV/0!,43003.86957
3,14,163459,0.348343,0.70639,0.134248,0.396045,0.219123,0.0689714,6.89714,0.221004,22.1004,,#DIV/0!,#DIV/0!,53012.34177
3,15,147318,0.31604,0.531507,0.171717,0.404248,0.0830166,0.0460316,4.60316,0.16407,16.407,,#DIV/0!,#DIV/0!,58085.43616
3,16,127468,0.338482,0.443838,0.10689,0.146406,0.246063,0.121399,12.1399,0.349785,34.9785,,#DIV/0!,#DIV/0!,28889.52173
3,17,143028,0.323772,0.217084,0.156417,0.217501,0.129839,0.0744665,7.44665,0.169806,16.9806,,#DIV/0!,#DIV/0!,53723.34364
3,18,213242,0.392679,0.542341,0.125388,0.311915,0.0742605,0.0526213,5.26213,0.123787,12.3787,,#DIV/0!,#DIV/0!,73762.70702
4,1,175460,0.197257,0.656954,0.125704,0.461985,0.173603,0.0739621,7.39621,0.167153,16.7153,,#DIV/0!,#DIV/0!,61575.3237
4,2,144899,0.267245,0.687811,0.128938,0.367286,0.221914,0.0979387,9.79387,0.11585,11.585,,#DIV/0!,#DIV/0!,64276.27673
4,3,186415,0.375027,0.501009,0.106563,0.192001,0.164698,0.0763261,7.63261,0.16758,16.758,,#DIV/0!,#DIV/0!,57795.05702
4,4,129606,0.369214,0.630253,0.124925,0.21938,0.296741,0.117638,11.7638,0.208075,20.8075,,#DIV/0!,#DIV/0!,46690.19005
4,5,186458,0.372745,0.575231,0.111913,0.269208,0.170596,0.0939461,9.39461,0.122963,12.2963,1462.7,0.008406576878,16.81315376,66503.22852
4,6,127938,0.260055,0.648358,0.171083,0.542248,0.239915,0.0820369,8.20369,0.14056,14.056,,#DIV/0!,#DIV/0!,75724.90136
4,7,247398,0.263748,0.606813,0.186404,0.274452,0.0376851,0.0370704,3.70704,0.15407,15.407,,#DIV/0!,#DIV/0!,54127.95281
4,8,161612,0.29183,0.734201,0.147266,0.399222,0.201583,0.0473424,4.73424,0.112873,11.2873,,#DIV/0!,#DIV/0!,66577.95844
4,9,158478,0.411811,0.715603,0.107504,0.272318,0.4482,0.0594518,5.94518,0.152185,15.2185,,#DIV/0!,#DIV/0!,64555.98017
4,10,135849,0.372099,0.801501,0.12681,0.216577,0.15241,0.0724358,7.24358,0.118136,11.8136,,#DIV/0!,#DIV/0!,71858.16148
4,11,113563,0.266665,0.63478,0.190458,0.424814,0.328856,0.0781562,7.81562,0.0866674,8.66674,,#DIV/0!,#DIV/0!,84575.05971
4,12,246946,0.404925,0.570882,0.128081,0.200823,0.0192766,0.0280446,2.80446,0.131558,13.1558,,#DIV/0!,#DIV/0!,62255.36602
4,13,203013,0.362278,0.649386,0.150503,0.286676,0.0757133,0.036774,3.6774,0.0662236,6.62236,,#DIV/0!,#DIV/0!,86522.30806
4,14,121595,0.392539,0.682893,0.133681,0.286332,0.293698,0.0884945,8.84945,0.199404,19.9404,,#DIV/0!,#DIV/0!,55870.22765
